0.000000 1.026964 0.999972
0.001000 1.026964 0.999972
0.002000 1.026964 0.999972
0.003000 1.026964 0.999972
0.004000 1.026964 0.999972
0.005000 1.026964 0.999972
0.006000 1.026964 0.999972
0.007000 1.026964 0.999972
0.008000 1.026964 0.999972
0.009000 1.026964 0.999972
0.010000 1.026964 0.999972
0.011000 1.026964 0.999972
0.012000 1.026964 0.999972
0.013000 1.026964 0.999972
0.014000 1.026964 0.999972
0.015000 1.026964 0.999972
0.016000 1.026964 0.999972
0.017000 1.026964 0.999972
0.018000 1.026964 0.999972
0.019000 1.026964 0.999972
0.020000 1.026964 0.999972
0.021000 1.026964 0.999972
0.022000 1.026964 0.999972
0.023000 1.026964 0.999972
0.024000 1.026964 0.999972
0.025000 1.026964 0.999972
0.026000 1.026964 0.999972
0.027000 1.026964 0.999972
0.028000 1.026964 0.999972
0.029000 1.026964 0.999972
0.030000 1.026964 0.999972
0.031000 1.026964 0.999972
0.032000 1.026964 0.999972
0.033000 1.026964 0.999972
0.034000 1.026964 0.999972
0.035000 1.026964 0.999972
0.036000 1.026964 0.999972
0.037000 1.026964 0.999972
0.038000 1.026964 0.999972
0.039000 1.026964 0.999972
0.040000 1.026964 0.999972
0.041000 1.026964 0.999972
0.042000 1.026964 0.999972
0.043000 1.026964 0.999972
0.044000 1.026964 0.999972
0.045000 1.026964 0.999972
0.046000 1.026964 0.999972
0.047000 1.026964 0.999972
0.048000 1.026964 0.999972
0.049000 1.026964 0.999972
0.050000 1.026964 0.999972
0.051000 1.026964 0.999972
0.052000 1.026964 0.999972
0.053000 1.026964 0.999972
0.054000 1.026964 0.999972
0.055000 1.026964 0.999972
0.056000 1.026964 0.999972
0.057000 1.026964 0.999972
0.058000 1.026964 0.999972
0.059000 1.026964 0.999972
0.060000 1.026964 0.999972
0.061000 1.026964 0.999972
0.062000 1.026964 0.999972
0.063000 1.026964 0.999972
0.064000 1.026964 0.999972
0.065000 1.026964 0.999972
0.066000 1.026964 0.999972
0.067000 1.026964 0.999972
0.068000 1.026964 0.999972
0.069000 1.026964 0.999972
0.070000 1.026964 0.999972
0.071000 1.026964 0.999972
0.072000 1.026964 0.999972
0.073000 1.026964 0.999972
0.074000 1.026964 0.999972
0.075000 1.026964 0.999972
0.076000 1.026964 0.999972
0.077000 1.026964 0.999972
0.078000 1.026964 0.999972
0.079000 1.026964 0.999972
0.080000 1.026964 0.999972
0.081000 1.026964 0.999972
0.082000 1.026964 0.999972
0.083000 1.026964 0.999972
0.084000 1.026964 0.999972
0.085000 1.026964 0.999972
0.086000 1.026964 0.999972
0.087000 1.026964 0.999972
0.088000 1.026964 0.999972
0.089000 1.026964 0.999972
0.090000 1.026964 0.999972
0.091000 1.026964 0.999972
0.092000 1.026964 0.999972
0.093000 1.026964 0.999972
0.094000 1.026964 0.999972
0.095000 1.026964 0.999972
0.096000 1.026964 0.999972
0.097000 1.026964 0.999972
0.098000 1.026964 0.999972
0.099000 1.026964 0.999972
0.100000 1.026964 0.999972
0.101000 1.026964 0.999972
0.102000 1.026964 0.999972
0.103000 1.026964 0.999972
0.104000 1.026964 0.999972
0.105000 1.026964 0.999972
0.106000 1.026964 0.999972
0.107000 1.026964 0.999972
0.108000 1.026964 0.999972
0.109000 1.026964 0.999972
0.110000 1.026964 0.999972
0.111000 1.026964 0.999972
0.112000 1.026964 0.999972
0.113000 1.026964 0.999972
0.114000 1.026964 0.999972
0.115000 1.026964 0.999972
0.116000 1.026964 0.999972
0.117000 1.026964 0.999972
0.118000 1.026964 0.999972
0.119000 1.026964 0.999972
0.120000 1.026964 0.999972
0.121000 1.026964 0.999972
0.122000 1.026964 0.999972
0.123000 1.026964 0.999972
0.124000 1.026964 0.999972
0.125000 1.026964 0.999972
0.126000 1.026964 0.999972
0.127000 1.026964 0.999972
0.128000 1.026964 0.999972
0.129000 1.026964 0.999972
0.130000 1.026964 0.999972
